train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,0.00015763456758577377,850,5.625884740000001,-0.0011923050042241812,31199,19.52,183,0.7964146733283997,9.819789283938007e-07,156000,31200,,
0.0003,0.00037750258343294263,850,5.63035525,-0.0012222453951835632,31299,19.58,183,0.5034436583518982,1.5809325759619242e-06,156500,31300,,
0.0003,0.0011950407642871141,850,5.624733630000001,-0.0011791244614869356,31399,19.41,184,0.9002449959516525,-3.3660023746051593e-06,157000,31400,,
0.0003,0.0006210335996001959,850,5.6153695400000005,-0.0011920141987502575,31499,19.12,185,0.13436460494995117,2.117606982210418e-06,157500,31500,,
0.0003,0.0008796295151114464,850,5.610609050000001,-0.0011950359912589192,31599,19.14,185,0.8273965418338776,-2.6523480300966185e-06,158000,31600,,
0.0003,0.0002480043040122837,850,5.60214847,-0.0012523848563432693,31699,18.94,186,0.9962331985589117,1.3954492033008137e-06,158500,31700,,
0.0003,0.00010592839680612087,850,5.6193116,-0.0011978158727288246,31799,19.49,187,0.9860596843063831,4.817129024559108e-07,159000,31800,,
0.0003,0.00010090032446896657,849,5.62309274,-0.0011816788464784622,31899,19.55,187,0.9599394388496876,-9.115912007473526e-07,159500,31900,,
0.0003,0.0037597573827952147,,,-0.0012223381781950593,31999,,,0.9213905557990074,3.8890702853677794e-06,160000,,5.603730199999999,18.6
,,849,5.6192387199999985,,,19.35,188,,,160000,32000,,
0.0003,0.0004422484780661762,849,5.621872780000001,-0.0012044413015246391,32099,19.4,188,0.9774650316685438,-1.6093702015496092e-06,160500,32100,,
0.0003,7.451459532603621e-05,849,5.62817664,-0.001190348993986845,32199,19.54,189,0.9198269471526146,-2.862127530534053e-07,161000,32200,,
0.0003,0.0001676191168371588,850,5.627768919999999,-0.0011899576056748629,32299,19.55,189,0.6856476068496704,8.571438456783653e-07,161500,32300,,
0.0003,0.0001470774586778134,850,5.63073943,-0.0011860269587486982,32399,19.68,190,0.8639650195837021,-4.3154895479347033e-07,162000,32400,,
0.0003,0.0004298927669879049,850,5.633706339999999,-0.001202320447191596,32499,19.74,191,0.8996565639972687,-1.9004901332664303e-06,162500,32500,,
0.0003,0.00018852337962016463,850,5.622572180000001,-0.0011982189025729895,32599,19.51,191,0.8293513506650925,-4.165617539797495e-08,163000,32600,,
0.0003,6.253189349081367e-05,850,5.62032745,-0.001179203623905778,32699,19.31,192,0.9942271686159074,5.158173053132487e-07,163500,32700,,
0.0003,0.0005142543814145029,850,5.62038729,-0.0012522147735580802,32799,19.28,192,0.9796646609902382,8.392136123802629e-07,164000,32800,,
0.0003,5.15554056619294e-05,850,5.612890329999999,-0.0009664833778515458,32899,19.14,193,0.9170693084597588,3.2219469403571566e-07,164500,32900,,
